Age,SS,Wbar,SD_Wbar
3,39,101.58638536157699,32.53604065142243
4,71,195.36879178456124,59.00545725917371
5,123,308.8375486904338,80.710489543579925
6,191,488.17012250764105,120.99665321589555
7,260,646.0764438817117,138.276343020608
8,298,839.4704721281494,199.78905130994295
9,499,1012.350729711483,232.28575311485295
10,504,1155.2957660076484,229.94544300374957
11,437,1267.164680004824,248.53257863971936
12,430,1358.3426169323648,261.38158128815235
13,421,1450.9566279984138,260.83421075628576
14,363,1520.299687182427,262.2878550461855
15,302,1553.9303584319873,236.33251227054808
16,237,1615.2304249713793,270.7559361911721
17,188,1665.2670934440825,258.90402476352074
18,186,1694.7669873499733,280.4781475374826
19,170,1765.225263267406,257.6804915579252
20,135,1770.8910482080196,277.6179565052137
21,120,1838.1293803175165,279.80579655085194
22,95,1855.5453729090616,346.1814063764326
23,98,1925.7020135831558,278.5686717352859
24,75,1901.5204200160101,285.93106999094084
25,68,1909.88892271852,366.07351351698736
26,63,1860.325064346856,285.45336627224833
27,55,1938.3487317821189,281.21734733032383
28,49,1915.4738565836078,291.3124149786129
29,42,1934.1731847537858,353.67824967467703
30,44,1856.42346085913,294.25076860048006
31,33,1847.0422150886307,352.5053674752838
