year,recruits,rec_lci,rec_uci,tot_biom,tot_lci,tot_uci,sp_biom,sp_lci,sp_uci
1977,1606,142,1880,28141,23353,35833,11752,9484,14962
1978,1710,127,1916,27374,22750,34504,11238,9089,14354
1979,2194,187,2652,27078,22433,33899,10919,8878,13941
1980,5312,166,4894,27493,22753,34007,10634,8660,13535
1981,6042,283,6926,28231,23599,34805,10265,8348,13099
1982,6742,291,6225,29519,24724,35865,9907,8041,12504
1983,3871,203,4313,30822,25868,37547,9667,7825,12424
1984,5375,527,4682,32508,27254,39174,9547,7693,12194
1985,3463,262,3718,34404,28699,41064,9816,7900,12379
1986,3239,235,2989,36715,31033,43447,10593,8631,13248
1987,2245,201,2436,38704,32908,45750,11645,9574,14399
1988,9628,2263,6346,41876,35945,49376,12876,10804,15767
1989,6167,994,4321,43958,37831,51887,13762,11494,16781
1990,18966,5508,11586,48494,41819,57062,14474,12131,17537
1991,13173,3250,8357,53734,46396,63223,15249,12775,18333
1992,11435,3081,7585,59310,51657,69119,15965,13408,19315
1993,3103,321,2437,61696,53497,71942,15946,13447,19506
1994,8284,2321,5268,64808,56090,75916,16438,13844,20121
1995,6154,1258,4198,67469,57916,79148,17533,14699,22006
1996,18314,5676,10546,72214,61879,85311,19193,16136,24155
1997,3358,283,2653,75360,64213,89185,21379,17947,26772
1998,10257,2768,6327,78928,67399,93766,23491,19763,29345
1999,20842,6207,11800,83971,71725,100731,25093,21058,30991
2000,2606,218,2365,85012,71872,102780,25734,21294,31963
2001,12845,3733,7987,88141,74084,107177,26642,22136,33109
2002,16181,4739,9536,92863,77763,112993,27941,23162,34908
2003,7125,1450,4802,95982,79618,117137,29228,23990,36731
2004,10732,2742,7134,99556,82277,121882,30750,25167,38797
2005,10198,2744,6362,103187,84698,126591,32528,26722,41206
2006,4538,860,3487,105824,86647,130485,34534,28412,43893
2007,5459,1242,4203,107499,87307,133539,36394,29854,46251
2008,6178,1104,4246,107609,86788,134468,37714,30591,47945
2009,7508,1597,5387,107142,85819,134564,38715,31167,49257
2010,9686,2266,6621,107384,85643,135803,39675,31608,50626
2011,14442,3418,9329,108569,86385,138146,40242,31743,51516
2012,12203,2838,8910,110558,87435,141670,40714,31744,52174
2013,9871,2000,7488,111072,86997,143626,40230,30985,52516
2014,22778,6154,14456,115149,90457,149609,40022,30590,52819
2015,2804,108,3325,116783,91874,152966,39969,30473,53222
2016,7194,822,6658,118698,93607,156228,40348,30727,53988
2017,2920,237,4520,118701,93192,157466,40872,31142,55074
2018,6313,499,6894,119057,92720,158843,42051,32118,57114
2019,2391,136,4200,117746,90778,158117,43268,33299,58926
2020,2541,158,5365,115927,89892,157116,44582,34368,60959
2021,2370,132,4280,113545,87808,154852,45657,34967,62645
2022,2703,136,6251,109820,83364,150302,45790,35195,63129
