year,catch
1977,388
1978,162
1979,224
1980,597
1981,845
1982,853
1983,1017
1984,510
1985,34
1986,17
1987,19
1988,1067
1989,1707
1990,1612
1991,2187.16
1992,3531.91
1993,3181.94
1994,2979.62
1995,2881.88
1996,2290.33
1997,2466.62
1998,3109.15
1999,4658.44
2000,3728.36
2001,3006.01
2002,3320.8
2003,3055.772
2004,2688.43
2005,2236.41
2006,2452.868
2007,3384.589
2008,3644.08
2009,3074.69
2010,3141.9759
2011,2540.36
2012,4010.4927
2013,3158.2505
2014,3062.0647
2015,2779.8361
2016,3322.1289
2017,2621.1037
2018,2908.5812
2019,2489.228
2020,2198.1947
2021,2928.4498
2022,2586.012
2023,3441.8438
