age	SD_Lbar	sample_size	Lbar
2	0.5773502691896257	3	12.333333333333334
3	1.9556401633246352	39	18.632808920116087
4	2.467927910879908	72	22.83468486998916
5	2.4684694930038757	134	26.763950891159073
6	2.248428652514643	201	30.744240523882628
7	2.5368841947799003	285	33.75820985546152
8	2.691521844699242	314	36.45801206066717
9	2.59829457814021	545	38.649266764816566
10	2.5470910789254373	559	40.558451076965554
11	2.475712602724107	508	41.879437282895374
12	2.228217122452683	497	42.89709308226111
13	2.2387610301256613	469	43.82028827214733
14	2.188839904483334	417	44.41159107156298
15	2.141937563126712	339	44.917487788047225
16	2.068676682467736	270	45.46463987300072
17	2.014093033437546	203	45.830367584473834
18	2.0781052574636263	211	46.08199879463145
19	2.0314102935946177	190	46.680138824544656
20	2.0874698444984787	154	46.8954338049437
21	2.150929979054883	150	47.10522614844312
22	2.469103256704418	121	47.36351603587039
23	2.3100089894740576	120	47.736420440126665
24	2.28657715904066	95	47.664617488258045
25	2.5257120444974053	84	47.64112939917723
26	2.5182502796814052	77	47.55621533477842
27	2.475660525448044	72	48.19470520570512
28	2.4611467545522845	56	48.10531115209664
29	2.616142327152971	47	47.86793769396827
30	2.3892100139395396	54	47.676395980659066
31	3.3336149815537444	39	48.19865291478534
32	2.8730325187442567	23	47.730327337525196
33	2.4903974374382174	17	48.5115250690005
34	3.8784687460427314	21	48.3264147858624
35	2.832372727930616	24	47.61541767521581
36	2.589825615189825	10	49.43008155319254
37	2.5103527890357284	18	48.33940033540027
38	2.8782677570948882	11	48.776367704247136
39	3.351915214083801	7	48.2146135149537
40	1.8903427080660997	6	49.825604150761485
41	2.5282290624942205	10	48.57707108618746
42	1.7239787188572242	5	48.696096486400776
43	2.352426424986227	4	46.494830263136805
44	2.1478449451050414	3	48.39367936939631
45	3.9710544769312532	4	49.31738952117298
46	0.5217758091326921	2	47.45279983992975
48	2.2042767552114118	4	48.224329599010495
49	0.4844607632220473	3	48.323776018686054
50	3.0747963211163523	2	48.25849145222448
51	1.5678844750713907	2	47.352958914272946
52	2.535309947031301	3	45.99544334321652
57	1.065269105150306	2	50.90195828283473
