"year","SSB"
1977,12355
1978,11824
1979,11490
1980,11190
1981,10801
1982,10420
1983,10155
1984,10003
1985,10234
1986,10965
1987,11953
1988,13104
1989,13894
1990,14512
1991,15210
1992,15874
1993,15832
1994,16325
1995,17436
1996,19118
1997,21317
1998,23429
1999,25018
2000,25634
2001,26497
2002,27733
2003,28944
2004,30379
2005,32078
2006,34019
2007,35835
2008,37135
2009,38124
2010,39068
2011,39607
2012,40024
2013,39455
2014,39102
2015,38840
2016,38942
2017,39142
2018,39984
2019,40911
2020,42055
2021,43150
2022,43535
2023,43588
2024,42715
