"name","1990","1993","1996","1999","2001","2003","2005","2007","2009","2011","2013","2015","2017","2019","2021","2023"
"21",0,0.001,0.003,0.001,0.003,0,0.001,0,0.003,0.001,0,0,0,0,0,0
"22",0.008,0.002,0.001,0.001,0.002,0.004,0.001,0,0.006,0,0.001,0,0,0,0,0
"23",0.004,0.004,0.004,0.001,0.003,0,0.001,0,0.011,0,0,0,0,0,0,0
"24",0.002,0.007,0.003,0,0.005,0.001,0.002,0,0.012,0,0,0.001,0.001,0,0,0
"25",0.006,0.002,0.003,0.002,0.003,0,0.002,0.001,0.005,0,0.001,0.002,0,0,0.001,0
"26",0,0.015,0.001,0,0.004,0.004,0.001,0.001,0.009,0,0.002,0.003,0.001,0,0,0
"27",0.006,0.018,0.001,0.001,0.006,0.017,0.001,0.001,0.005,0,0.001,0.001,0.001,0,0,0
"28",0.006,0.023,0.001,0,0.002,0.024,0.001,0.001,0.006,0,0.001,0.002,0.001,0.003,0.001,0.001
"29",0.007,0.021,0.005,0.001,0.022,0.027,0.004,0.001,0.007,0,0.002,0.001,0.002,0.003,0.002,0.001
"30",0,0.03,0.002,0.002,0.024,0.044,0.005,0.003,0.01,0.002,0.003,0.003,0.005,0.002,0.003,0.001
"31",0.001,0.039,0.002,0.006,0.029,0.027,0.01,0.001,0.008,0.002,0.004,0.007,0.019,0.004,0.001,0
"32",0.007,0.051,0.002,0.008,0.033,0.031,0.014,0.004,0.01,0.002,0.003,0.005,0.018,0.003,0.003,0
"33",0.001,0.043,0.007,0.008,0.026,0.053,0.016,0.003,0.005,0.003,0.005,0.006,0.017,0.006,0.004,0.001
"34",0.003,0.04,0.003,0.013,0.03,0.008,0.019,0.011,0.007,0.005,0.003,0.01,0.013,0.007,0.003,0.002
"35",0.001,0.047,0.006,0.015,0.026,0.011,0.021,0.015,0.007,0.006,0.005,0.01,0.022,0.01,0.004,0.005
"36",0.002,0.053,0.001,0.015,0.042,0.013,0.046,0.013,0.008,0.015,0.007,0.014,0.032,0.019,0.012,0.007
"37",0.004,0.038,0.009,0.016,0.039,0.043,0.027,0.019,0.006,0.019,0.011,0.017,0.042,0.025,0.01,0.006
"38",0.006,0.049,0.009,0.019,0.04,0.077,0.053,0.025,0.011,0.017,0.012,0.024,0.037,0.05,0.014,0.015
"39",0.019,0.052,0.016,0.016,0.059,0.072,0.031,0.051,0.011,0.036,0.011,0.027,0.04,0.064,0.016,0.029
"40",0.017,0.052,0.036,0.031,0.061,0.066,0.042,0.071,0.02,0.042,0.009,0.029,0.074,0.066,0.027,0.03
"41",0.077,0.035,0.08,0.035,0.071,0.05,0.046,0.077,0.031,0.058,0.021,0.039,0.078,0.083,0.042,0.036
"42",0.125,0.044,0.065,0.072,0.061,0.05,0.072,0.108,0.036,0.091,0.043,0.05,0.066,0.097,0.051,0.057
"43",0.115,0.061,0.127,0.104,0.064,0.065,0.092,0.104,0.073,0.135,0.101,0.051,0.082,0.096,0.056,0.09
"44",0.153,0.063,0.133,0.115,0.058,0.07,0.101,0.113,0.069,0.114,0.112,0.083,0.077,0.086,0.074,0.105
"45",0.175,0.072,0.111,0.15,0.083,0.065,0.1,0.097,0.105,0.109,0.179,0.106,0.055,0.082,0.098,0.115
"46",0.151,0.065,0.113,0.141,0.076,0.062,0.101,0.097,0.154,0.103,0.153,0.114,0.071,0.077,0.12,0.114
"47",0.069,0.036,0.13,0.093,0.059,0.05,0.075,0.07,0.126,0.073,0.134,0.112,0.072,0.068,0.122,0.11
"48",0.023,0.025,0.065,0.057,0.041,0.028,0.06,0.049,0.082,0.062,0.075,0.108,0.069,0.058,0.096,0.118
"49",0.009,0.006,0.03,0.041,0.017,0.017,0.027,0.037,0.063,0.042,0.05,0.071,0.053,0.036,0.09,0.067
"50",0.001,0.004,0.017,0.021,0.007,0.007,0.016,0.016,0.046,0.025,0.03,0.052,0.022,0.029,0.064,0.043
"51",0.001,0.001,0.004,0.015,0.001,0.004,0.007,0.007,0.035,0.023,0.009,0.029,0.014,0.014,0.046,0.022
"52+",0.001,0.002,0.01,0.004,0.002,0.007,0.004,0.004,0.011,0.012,0.009,0.023,0.016,0.01,0.04,0.024
"n_s",843,2299,1478,1253,1255,1780,3383,1816,2024,1410,1888,1820,1857,2503,1503,1199
"n_h",26,95,105,84,70,114,140,126,113,87,87,113,101,120,95,91
