length,Wbar,SD_Wbar
120,22,0
150,47.5,3.415650255319866
160,52,6
170,75.2,2.280350850198276
180,88.5,6.3796551630946325
190,107.26666666666667,13.619663655730934
200,123.63636363636364,17.060320789907365
210,141.9090909090909,11.70003884997435
220,169,12.819256348686274
230,190.9375,19.097883826923514
240,224.3913043478261,14.56876837133831
250,245.65625,21.160842374536983
260,283.2,22.733494335580755
270,319.71875,26.67998449363577
280,361.52777777777777,30.02806887954869
290,395.33870967741933,29.3313146309521
300,445.375,42.35287368161586
310,479.97058823529414,38.623313116131364
320,541.3152173913044,39.388716337010734
330,606.9702970297029,51.2227401542605
340,661.93,59.79649917119992
350,727.4689655172414,56.63149094173245
360,801.3962264150944,61.33906790531395
370,866.9123711340206,66.4383118103845
380,935.9789915966387,74.81343589019376
390,1029.3169014084508,85.27195071685286
400,1102.3253012048192,86.91098455931288
410,1189.0307692307692,102.01786262727025
420,1284.3891213389122,102.54973353385006
430,1365.1145833333333,114.44133793623722
440,1464.706611570248,117.1316466532765
450,1574.9651162790697,132.19969722284426
460,1671.0236559139785,138.2095855047637
470,1782.99,143.6590920785806
480,1912.9045092838196,172.3439979321279
490,2018.7384615384615,186.49661993877865
500,2148.8571428571427,189.71438648680726
510,2272.9,224.38429787156036
520,2392.1428571428573,245.82191843774953
530,2543.6428571428573,182.13796445342768
540,2614.6,157.52826906798524
